Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Anna,Hr
Peter,Electronics
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
Name,Department
Sam,Engineering
Alex,Marketing
John,Engineering
Emily,Sales
